peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
98.17,1.73,M,48,0,9,1,21,17,0,N,2,2,2
93.69,1.62,M,41,0,0,6,0,0,0,N,1,1,0
66,1.79,V,43,0,0,0,24,21,0,N,3,4,4
54.5,1.74,V,36,40,0,1,28,13,0,N,0,1,1
60.62,1.66,M,61,10,3,0,5,4,4,N,1,2,1
123.9,1.76,V,43,0,18,0,10,0,0,N,2,1,2
49.6,1.66,M,27,70,0,0,0,0,2,N,2,4,3
71.37,1.66,M,44,0,0,4,0,0,1,N,0,2,4
57.67,1.79,V,18,70,7,2,4,1,0,N,3,4,3
75.36,1.68,M,52,0,10,0,0,0,0,N,1,3,4
96.28,1.74,V,35,0,0,4,6,0,0,S,2,4,4
65.7,1.74,V,37,0,0,1,3,3,0,N,2,3,3
45.51,1.59,M,30,50,9,0,17,8,0,N,1,1,1
110.22,1.66,M,49,0,11,6,0,0,0,N,0,0,1
91.38,1.76,V,41,0,0,3,12,4,0,N,2,3,4
65.86,1.66,V,29,0,11,1,0,7,0,N,1,2,2
61.46,1.74,V,18,0,0,5,0,8,0,N,2,3,4
68.46,1.76,V,37,0,0,0,0,0,0,N,1,3,3
102.64,1.74,V,37,0,15,2,0,1,0,S,2,4,3
80.74,1.79,V,31,0,5,0,0,0,0,N,2,2,2
73.1,1.76,V,24,0,0,4,0,8,0,N,2,2,2
79.64,1.66,V,25,0,0,0,21,12,0,N,2,2,3
78.32,1.7,M,41,0,0,0,19,10,0,N,0,3,4
64.31,1.75,M,48,0,0,3,0,8,0,N,2,3,3
102.06,1.8,V,29,0,19,0,0,0,0,N,3,4,3
91.49,1.66,M,50,0,8,0,10,1,0,N,1,3,3
72.42,1.65,M,45,0,2,0,0,0,0,N,0,0,0
105.19,1.78,V,37,0,0,6,0,0,0,N,1,1,2
55.39,1.66,M,26,0,0,0,0,3,3,N,1,3,2
65.84,1.75,V,33,0,2,2,7,13,0,N,2,3,3
118.92,1.81,V,44,0,0,7,0,0,0,N,0,0,0
86.41,1.7,M,18,0,0,0,13,6,0,N,1,0,1
81.3,1.63,M,54,0,2,3,7,2,0,N,1,3,3
61.98,1.69,V,35,0,0,0,0,0,2,N,2,4,4
48.41,1.64,M,18,0,0,0,3,11,0,N,1,1,2
53.25,1.72,V,36,140,0,0,0,6,3,S,1,2,3
63.83,1.8,V,75,0,0,0,0,3,2,N,3,4,4
74.87,1.65,M,36,0,0,1,2,0,0,N,1,2,2
77.51,1.82,V,28,0,0,0,7,4,0,N,2,4,3
73.69,1.71,M,53,0,0,0,4,5,0,N,1,1,1
55.12,1.75,M,49,60,0,6,2,0,0,N,1,2,1
71.73,1.57,M,38,0,0,2,0,0,0,N,0,1,0
44.94,1.58,M,25,30,0,1,3,3,3,N,1,3,2
48.41,1.64,M,39,70,0,1,7,0,0,N,2,4,4
115.6,1.7,M,37,0,2,0,26,4,0,N,1,1,2
91.97,1.69,V,43,0,0,3,16,14,0,N,0,0,0
74.4,1.66,M,36,0,8,2,0,3,0,N,2,3,3
72.54,1.69,V,49,20,0,3,8,3,0,N,0,1,0
58.97,1.81,V,54,20,0,5,4,7,0,N,2,4,3
73.92,1.73,V,28,0,5,0,5,6,0,N,1,3,3
97.34,1.56,M,47,0,4,6,26,8,0,S,1,4,2
69.66,1.8,V,18,0,0,3,0,4,0,N,1,3,4
83.38,1.64,M,34,0,0,6,0,0,0,N,0,3,3
65.31,1.66,M,52,0,0,0,8,7,0,S,0,2,3
71.64,1.71,V,50,0,0,2,0,0,0,N,2,4,4
71.47,1.63,M,72,0,6,0,8,9,0,N,2,3,2
106.21,1.77,V,55,0,4,0,16,4,0,N,0,0,2
78.73,1.8,V,30,0,0,0,0,0,0,N,2,2,1
69.15,1.68,V,27,0,0,0,12,11,0,N,1,3,4
122.5,1.75,V,33,0,19,0,30,18,0,N,1,2,1
109.82,1.7,M,18,0,8,4,11,5,0,S,1,2,2
103.82,1.75,V,36,0,0,5,7,0,0,N,2,4,4
81.43,1.78,V,36,0,12,0,0,5,0,N,1,4,3
68.89,1.66,M,50,0,5,0,9,8,0,N,2,4,3
109.66,1.76,V,66,0,0,0,15,0,0,N,1,3,2
100.76,1.78,V,26,0,11,1,0,2,0,N,0,0,0
76.52,1.63,M,70,0,0,0,10,4,1,N,4,4,3
110.22,1.66,M,31,0,17,5,6,0,1,N,2,2,0
48.41,1.64,M,50,30,0,2,1,3,0,N,2,4,3
64.12,1.76,V,49,0,0,1,0,6,0,N,1,2,1
48.41,1.64,M,18,30,0,0,0,6,0,N,3,4,4
59.24,1.7,M,35,0,1,0,0,0,0,N,3,4,4
107.41,1.78,V,50,0,0,0,15,4,0,S,1,2,2
74.56,1.77,M,34,0,0,0,0,0,0,N,2,2,2
57.03,1.78,V,34,40,15,0,11,4,0,N,3,2,4
108.66,1.7,V,48,0,12,2,7,4,2,N,1,1,0
120.79,1.79,V,52,0,4,9,0,0,0,N,2,3,2
80.72,1.68,M,44,10,0,0,23,10,0,N,1,3,1
79.94,1.81,V,43,0,6,0,0,4,0,N,2,3,2
97.26,1.76,V,74,0,10,2,2,0,4,N,2,3,4
95.1,1.76,V,30,0,13,0,0,2,0,N,0,1,0
102.96,1.73,V,66,0,0,2,20,12,0,N,2,2,1
50.8,1.68,V,50,70,0,0,5,8,0,N,1,3,3
47.82,1.63,M,36,90,16,0,23,5,0,N,2,1,1
103.46,1.76,V,18,0,0,3,13,5,7,N,2,4,3
88.41,1.74,M,40,0,2,4,0,0,0,N,2,3,3
76.62,1.72,M,18,0,2,3,0,0,0,N,1,3,3
48.41,1.64,M,38,50,0,0,8,6,0,N,2,2,0
92.78,1.73,M,18,0,0,0,22,7,0,N,1,3,4
103.89,1.66,M,41,0,0,2,18,3,0,N,0,2,1
80.71,1.71,M,60,0,0,1,6,0,0,N,1,3,4
42.69,1.54,M,48,60,0,5,0,2,0,N,1,2,3
95.67,1.74,V,70,0,5,4,0,1,0,N,2,2,3
86.06,1.75,V,37,0,0,0,18,8,0,N,2,4,4
63.43,1.65,M,46,0,0,3,0,4,0,N,1,3,4
78.54,1.61,M,41,0,0,5,3,2,0,N,1,2,4
87.09,1.73,V,49,0,4,0,9,3,0,N,0,1,2
117.29,1.75,V,18,0,0,9,5,0,0,N,1,2,2
109.53,1.7,M,56,0,11,7,0,0,2,N,3,4,4
99.06,1.73,V,21,0,4,0,14,6,5,N,1,1,0
109.96,1.76,V,18,0,4,1,11,4,0,N,0,0,1
74.53,1.62,M,56,0,0,0,7,0,0,N,2,2,2
58.97,1.81,V,30,60,0,0,4,0,0,S,3,4,4
56.42,1.58,M,48,10,0,0,15,11,0,N,0,1,0
78.41,1.73,V,55,0,0,6,0,7,0,N,1,2,3
56.39,1.77,V,39,60,0,0,8,0,0,N,3,4,3
104.58,1.67,M,57,0,18,0,11,5,0,N,0,3,4
60.8,1.67,M,26,0,0,0,11,11,0,N,3,4,3
114.28,1.82,V,70,0,0,6,8,9,0,N,1,1,1
104.73,1.72,V,72,0,5,0,14,0,6,N,2,4,4
100.82,1.74,M,49,20,25,3,15,14,0,N,1,2,2
73.12,1.7,M,55,0,0,0,7,2,0,N,1,2,4
74.69,1.57,M,57,0,7,0,11,6,0,N,1,2,3
85.86,1.8,V,46,0,6,2,0,4,0,N,1,3,2
76.66,1.57,M,54,0,4,2,4,0,0,N,3,4,2
74.13,1.61,M,78,0,0,1,1,1,5,N,0,1,1
71.45,1.74,M,48,0,6,0,0,0,0,N,3,4,4
82.75,1.71,V,71,0,0,0,16,7,0,N,2,4,4
54.5,1.74,V,50,70,0,0,22,4,2,N,1,3,3
99.02,1.61,M,60,0,4,0,17,3,0,N,0,1,0
47.24,1.62,M,49,100,9,0,0,1,1,N,0,3,4
81.95,1.65,M,53,0,0,2,2,0,0,N,0,1,0
82.17,1.71,V,28,0,7,2,0,0,0,N,2,3,3
109.19,1.8,V,18,0,0,5,0,0,0,N,1,1,0
65.77,1.8,V,39,0,0,0,0,1,0,N,1,4,4
42.69,1.54,M,60,110,0,3,12,3,0,N,1,2,1
60.35,1.66,M,56,10,0,0,9,6,NA,N,0,0,1
90.68,1.79,V,37,0,0,1,4,0,0,N,1,2,1
70.47,1.64,M,39,0,0,0,24,15,0,N,3,4,4
70.52,1.7,V,44,0,10,1,3,8,0,N,2,4,3
61.61,1.85,V,35,30,0,4,0,6,0,S,2,4,4
102.4,1.6,M,19,0,0,7,11,0,0,N,3,4,2
84.4,1.73,V,26,0,0,3,8,6,0,N,2,3,2
77.06,1.6,M,37,0,1,2,6,0,NA,N,2,2,2
46.66,1.61,M,34,90,0,5,5,0,2,N,2,3,4
84.17,1.74,V,38,0,6,1,0,0,0,N,1,1,2
70.93,1.73,V,64,0,0,2,0,0,0,N,1,3,4
119.59,1.74,V,54,0,9,0,19,3,0,N,2,2,3
110.51,1.74,V,50,0,8,3,13,11,8,N,1,1,0
64.25,1.56,M,22,0,7,1,0,0,0,N,3,4,4
95.56,1.72,V,36,0,8,3,0,0,6,N,2,3,3
86.71,1.59,M,60,0,0,5,7,6,0,N,0,0,0
102.22,1.76,V,30,0,0,6,4,4,0,N,1,2,2
52.02,1.7,V,35,70,0,0,6,8,0,N,1,3,4
59.88,1.61,M,51,0,0,0,2,0,0,N,1,4,4
79.06,1.61,M,69,0,2,2,0,0,0,N,0,0,0
88.47,1.63,M,46,0,18,1,1,0,0,N,1,4,4
83.67,1.67,M,40,0,0,2,4,0,0,N,0,1,1
57.17,1.58,M,41,0,2,0,0,0,0,N,2,4,3
110.94,1.72,M,64,0,14,2,17,7,0,N,4,4,3
97.1,1.7,V,41,0,11,0,16,8,0,N,3,4,3
97.1,1.7,V,32,0,5,3,21,15,0,S,2,4,4
55.12,1.75,V,19,40,0,0,0,2,0,N,1,1,2
93.57,1.71,M,28,0,15,0,7,9,0,N,2,2,1
92.99,1.63,M,57,0,0,4,4,0,0,N,1,1,0
99.07,1.68,M,52,0,0,0,17,2,0,N,2,2,1
50.04,1.54,M,31,0,0,0,0,2,0,N,1,2,2
69.94,1.74,V,31,0,0,0,0,1,0,N,1,0,2
115.08,1.72,V,68,0,0,6,12,0,0,N,1,4,3
67.63,1.7,M,55,0,3,4,0,7,1,N,2,4,4
82.94,1.7,V,31,10,0,7,0,0,4,N,1,2,2
49,1.65,M,18,160,0,0,16,7,0,N,0,2,1
108.09,1.77,V,60,0,0,0,17,0,0,N,2,2,2
62.2,1.62,M,30,0,3,2,0,3,0,N,1,4,4
50.91,1.65,M,71,0,0,1,0,9,5,N,2,3,3
67.16,1.72,M,57,0,5,0,4,10,0,N,1,3,2
87.92,1.62,V,48,0,0,0,14,4,0,N,0,0,0
107.77,1.77,M,38,0,6,6,6,5,0,N,1,2,3
101.68,1.69,M,36,10,0,12,8,8,0,N,1,1,2
93.52,1.63,M,41,0,18,1,3,6,0,N,1,2,1
62.83,1.66,M,46,0,11,0,4,11,0,N,1,3,2
83.02,1.77,V,19,0,0,5,0,0,0,N,3,4,4
64.95,1.78,V,53,0,0,1,0,8,0,N,2,2,1
83.72,1.83,V,31,0,9,0,12,18,0,N,1,1,1
76.36,1.78,V,31,0,0,1,0,0,0,S,2,3,2
57.03,1.78,V,61,90,15,0,3,0,NA,N,1,2,4
80.74,1.79,V,27,0,4,0,1,0,0,N,0,3,3
67.03,1.84,V,51,0,0,1,4,10,4,N,2,3,3
82.05,1.83,V,50,0,0,1,0,0,0,N,1,3,3
55.12,1.75,V,39,110,15,3,12,11,0,N,0,1,2
106.28,1.63,M,58,0,0,12,0,0,0,N,0,0,0
50.8,1.68,M,42,40,2,0,13,11,8,N,1,2,0
57.65,1.77,V,43,0,0,0,0,3,0,N,0,3,4
90.32,1.68,M,18,0,9,0,7,3,0,N,1,3,2
75.5,1.66,M,32,0,0,0,5,0,0,N,1,1,2
46.59,1.6,M,28,20,8,1,2,0,0,N,1,4,4
48.41,1.64,M,45,10,0,0,4,5,1,N,1,2,3
50.2,1.67,M,53,90,0,0,3,0,0,N,0,0,0
46.73,1.56,M,25,0,0,0,0,2,0,N,2,3,3
63.69,1.69,M,37,0,0,2,0,8,0,N,3,3,2
87.8,1.74,V,55,0,5,1,0,0,0,N,1,3,1
54.5,1.74,M,52,50,24,0,1,0,0,N,0,2,3
57.67,1.79,V,22,60,16,2,7,0,0,N,1,2,3
53.87,1.73,V,30,80,1,0,4,3,9,N,2,4,4
61.37,1.63,M,38,0,0,1,3,7,0,N,1,3,1
69.21,1.79,V,33,0,0,0,6,6,0,N,0,1,2
105.56,1.68,V,63,0,7,1,12,3,0,N,1,1,1
111.53,1.78,V,29,0,5,3,1,0,0,N,1,2,0
103.68,1.82,V,58,20,5,8,1,0,0,N,0,0,0
61.11,1.71,V,41,0,1,0,9,13,0,N,1,2,3
103.25,1.72,V,35,0,0,2,21,7,0,N,1,1,3
53.87,1.73,V,34,30,7,0,19,14,NA,N,3,3,4
111.84,1.78,V,24,0,3,2,16,2,0,N,2,3,4
69.16,1.67,M,44,10,0,5,4,5,0,N,2,3,4
90.32,1.68,V,35,0,7,2,0,0,2,N,1,2,2
47.82,1.63,M,49,120,8,2,4,0,0,N,0,0,0
77.31,1.78,M,40,40,14,0,22,7,0,S,0,0,0
105.96,1.75,V,18,0,13,0,7,4,0,N,1,1,1
44.94,1.58,M,74,90,0,4,0,0,0,N,2,1,1
49,1.65,M,49,120,1,7,0,4,5,N,3,4,4
79.3,1.76,V,18,0,0,0,0,0,0,S,0,0,0
64.21,1.66,M,58,0,0,0,0,0,0,S,1,2,2
82.22,1.65,M,49,0,10,0,11,12,7,N,0,1,1
